"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",648,640,647,627,640,645,648,640,634,639,652,637,636,639,636,630,631,630,631,637,643,634,632,637,642,632,638,640,640,643,637,646,637,630,637,634,640,639,650,641,634,637,641,637,636,646,642,636,629,646,641,643,634,642,633,647,638,641,646,635,632,629,641,627,640,644,637,625,643,633,632,641,641,639,631,645,628,633,628,633,637,636,637,640,631,630,638,640,630,635,638,625,632,637,628,652,636,628,627,631
"2",87,98,97,100,101,92,98,98,97,92,95,99,96,94,95,97,98,97,93,93,95,95,96,92,93,99,97,96,100,95,98,91,95,98,98,99,95,96,97,93,102,96,92,100,90,88,98,94,96,89,101,87,104,94,101,101,96,94,94,100,94,98,99,98,99,96,98,98,93,95,103,93,94,94,99,93,95,96,97,96,101,94,95,94,92,93,97,94,100,99,99,102,96,98,96,93,97,103,98,93
"3",25,24,20,20,23,26,22,17,25,24,24,20,27,25,26,26,22,24,24,22,25,25,24,22,25,23,25,24,27,25,21,24,24,24,20,24,21,22,20,25,22,22,23,23,24,22,23,20,22,24,20,25,22,26,19,20,22,23,20,22,23,26,23,25,21,24,24,24,21,27,25,26,25,23,20,25,26,31,22,23,22,24,23,29,24,23,25,22,21,23,19,26,23,23,22,21,24,20,23,26
"4",13,13,14,17,15,13,11,16,14,16,12,14,13,13,15,15,16,14,15,17,14,12,16,16,13,16,11,14,10,8,14,16,13,12,15,14,16,14,16,14,16,16,14,12,15,17,14,14,15,16,17,13,13,14,18,15,12,14,19,12,17,12,16,14,16,9,9,15,17,12,12,14,16,14,15,14,17,10,13,14,14,14,14,13,16,17,13,14,14,13,15,13,13,12,16,16,14,15,15,12
"5",10,9,10,7,6,7,11,8,9,7,9,9,7,8,10,7,6,7,9,8,5,9,10,10,9,6,9,8,6,10,7,8,9,8,8,8,9,7,8,10,5,7,9,10,9,9,7,9,11,7,9,8,6,9,6,9,9,10,7,9,9,7,4,7,7,10,9,9,10,8,7,8,6,9,8,6,6,7,9,9,8,7,6,7,8,6,7,9,10,10,7,8,9,9,11,7,6,9,10,8
"6",4,2,3,6,2,7,3,5,5,4,2,3,3,5,2,4,4,5,4,5,5,4,3,2,4,3,4,7,5,3,5,3,5,5,5,2,4,6,2,1,4,4,5,3,6,3,4,6,2,4,2,4,3,4,5,3,5,3,4,3,2,6,3,5,4,2,5,2,3,6,4,6,4,4,4,8,3,5,5,3,3,6,4,3,3,4,3,6,1,2,5,2,3,2,3,4,5,3,1,4
"7",2,2,3,2,4,3,2,2,4,5,5,3,5,2,2,4,5,4,3,2,4,2,2,4,2,5,3,2,4,5,3,4,3,3,1,4,3,3,4,4,2,3,2,6,1,4,3,3,3,4,2,5,3,1,4,2,4,2,1,5,2,2,4,3,3,4,3,5,2,1,3,1,3,2,5,2,4,2,4,3,3,2,4,2,5,4,2,3,3,4,4,5,5,4,2,4,2,6,4,4
"8",3,5,2,5,4,2,4,3,1,1,3,3,5,4,6,4,4,5,4,7,2,4,4,2,5,2,4,3,2,3,5,1,2,4,4,3,3,3,5,5,3,6,5,0,2,3,2,2,3,3,5,2,5,5,0,3,4,3,3,4,3,5,3,4,3,4,4,2,4,5,3,1,1,4,3,3,3,4,3,3,3,3,2,3,1,4,3,4,4,2,4,3,2,2,2,4,4,1,2,2
"9",3,2,3,1,3,4,3,3,3,3,2,3,0,2,0,1,1,0,3,0,3,4,3,3,2,4,2,2,3,2,1,3,3,2,3,3,2,2,1,2,4,0,1,3,4,3,3,3,3,3,2,3,2,2,4,3,1,3,3,2,4,1,3,2,2,2,2,3,3,3,3,4,4,2,3,2,3,2,2,3,3,3,4,3,4,2,4,3,3,3,2,3,3,4,4,1,3,3,4,4
"10",0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,2,1,0,0,0,1,2,1,0,2,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,2,0,1,0,0
