"X","variable","value"
1,"1",490
2,"1",67
3,"1",11
4,"1",6
5,"1",4
6,"1",3
7,"1",4
8,"1",1
9,"1",1
10,"1",0
11,"1",0
12,"1",0
13,"1",1
14,"1",2
15,"1",0
16,"1",0
17,"1",0
18,"1",0
19,"1",0
20,"1",0
21,"1",0
22,"1",0
23,"1",0
1,"2",481
2,"2",72
3,"2",18
4,"2",5
5,"2",6
6,"2",3
7,"2",2
8,"2",0
9,"2",0
10,"2",0
11,"2",0
12,"2",0
13,"2",1
14,"2",0
15,"2",1
16,"2",1
17,"2",0
18,"2",0
19,"2",0
20,"2",0
21,"2",0
22,"2",0
23,"2",0
1,"3",485
2,"3",66
3,"3",15
4,"3",8
5,"3",5
6,"3",6
7,"3",1
8,"3",1
9,"3",1
10,"3",0
11,"3",1
12,"3",0
13,"3",0
14,"3",0
15,"3",1
16,"3",0
17,"3",0
18,"3",0
19,"3",0
20,"3",0
21,"3",0
22,"3",0
23,"3",0
1,"4",497
2,"4",66
3,"4",11
4,"4",6
5,"4",5
6,"4",3
7,"4",4
8,"4",1
9,"4",0
10,"4",0
11,"4",1
12,"4",0
13,"4",0
14,"4",1
15,"4",1
16,"4",0
17,"4",0
18,"4",0
19,"4",0
20,"4",0
21,"4",0
22,"4",0
23,"4",0
1,"5",467
2,"5",64
3,"5",21
4,"5",6
5,"5",3
6,"5",5
7,"5",3
8,"5",1
9,"5",0
10,"5",0
11,"5",0
12,"5",0
13,"5",0
14,"5",0
15,"5",1
16,"5",1
17,"5",0
18,"5",1
19,"5",0
20,"5",0
21,"5",0
22,"5",0
23,"5",0
1,"6",497
2,"6",65
3,"6",13
4,"6",6
5,"6",3
6,"6",2
7,"6",2
8,"6",4
9,"6",0
10,"6",0
11,"6",0
12,"6",0
13,"6",1
14,"6",1
15,"6",1
16,"6",0
17,"6",0
18,"6",0
19,"6",0
20,"6",0
21,"6",0
22,"6",0
23,"6",0
1,"7",487
2,"7",62
3,"7",18
4,"7",5
5,"7",3
6,"7",4
7,"7",4
8,"7",1
9,"7",0
10,"7",0
11,"7",0
12,"7",0
13,"7",0
14,"7",2
15,"7",0
16,"7",0
17,"7",1
18,"7",0
19,"7",0
20,"7",0
21,"7",0
22,"7",0
23,"7",0
1,"8",482
2,"8",63
3,"8",19
4,"8",7
5,"8",3
6,"8",6
7,"8",2
8,"8",1
9,"8",0
10,"8",1
11,"8",0
12,"8",0
13,"8",0
14,"8",1
15,"8",1
16,"8",0
17,"8",0
18,"8",0
19,"8",0
20,"8",0
21,"8",0
22,"8",0
23,"8",0
1,"9",495
2,"9",55
3,"9",16
4,"9",5
5,"9",4
6,"9",4
7,"9",6
8,"9",0
9,"9",0
10,"9",0
11,"9",0
12,"9",0
13,"9",1
14,"9",0
15,"9",0
16,"9",1
17,"9",1
