"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",329,34,12,7,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"2",355,37,6,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",344,34,9,5,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"4",347,37,6,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",365,31,10,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",343,29,10,3,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7",349,36,10,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",323,50,8,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",329,37,10,9,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",365,32,9,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",341,35,6,4,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",342,37,14,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"13",343,32,12,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",342,37,7,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"15",348,35,12,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",332,35,9,4,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"17",336,31,10,3,2,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18",328,47,9,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",333,34,11,5,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",337,37,12,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"21",342,31,15,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",337,39,12,3,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23",356,33,8,5,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"24",362,36,10,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"25",385,34,4,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",339,36,12,0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"27",350,30,11,3,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",360,38,8,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",349,30,11,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",363,29,12,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",340,42,9,5,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"32",355,31,9,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",341,36,13,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"34",348,32,11,3,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",329,37,11,7,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",332,33,14,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"37",356,27,11,3,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"38",354,30,10,5,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"39",347,32,14,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",370,36,10,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",355,38,6,6,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"42",341,32,15,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",354,38,7,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"44",350,35,11,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",351,25,17,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"46",352,26,13,7,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",357,34,8,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",337,34,10,2,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"49",343,43,11,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"50",372,25,7,2,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"51",355,31,7,6,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",337,35,11,3,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"53",344,35,12,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"54",326,43,7,8,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",328,35,7,11,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
