"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",402,406,423,416,400,409,398,418,400,405,425,427,420,397,377,414,405,411,419,404,413,407,405,418,422,395,419,416,415,423,428,404,397,389,420,426,397,389,411,403,394,394,384,417,397,413,403,409,405,404,412,405,404,400,420,396,384,407,407,406,404,411,405,401,422,393,409,412,409,411,402,389,412,408,394,397,401,406,423,407,405,401,416,410,390,410,416,436,422,391,417,389,418,408,402,430,393,398,390,376
"2",40,53,41,38,53,47,46,36,41,41,41,46,42,43,51,48,53,46,57,47,47,44,49,40,47,46,36,38,51,37,43,46,52,50,41,36,50,50,51,48,50,39,50,44,45,51,47,41,41,47,42,49,47,44,45,51,52,57,44,47,48,49,37,47,47,51,47,39,47,38,48,50,44,43,60,48,52,51,49,47,42,48,37,47,54,43,37,32,31,51,45,56,43,49,41,45,48,53,49,61
"3",15,9,14,15,12,13,10,15,14,15,14,7,15,16,17,11,17,14,9,14,8,14,11,10,12,11,13,13,14,10,9,14,20,12,9,10,13,13,12,13,8,14,10,7,19,12,14,14,14,9,13,12,13,15,12,12,10,11,10,16,11,15,17,17,11,11,10,10,11,12,12,8,7,6,7,8,13,17,9,10,10,14,10,8,11,16,10,9,18,15,17,10,13,11,15,10,17,12,14,10
"4",5,5,2,8,7,2,3,5,8,8,9,9,3,3,6,6,4,6,10,4,3,2,7,6,5,7,7,11,6,6,7,6,5,7,6,7,8,4,5,7,11,5,11,4,3,8,9,2,12,7,6,6,3,8,7,5,2,6,6,3,6,7,6,5,4,9,5,4,7,9,5,5,5,8,6,9,6,3,4,5,8,8,12,8,9,6,9,5,10,8,1,3,6,5,6,5,4,4,6,4
"5",4,6,5,5,1,8,5,0,4,2,3,2,3,5,7,3,3,2,2,5,6,6,4,3,5,2,4,4,2,0,3,3,3,3,2,3,2,4,1,4,3,4,2,2,4,3,2,4,3,6,4,3,2,3,3,5,4,3,5,5,5,2,3,2,3,2,3,9,2,2,3,3,5,2,4,3,3,1,2,5,3,3,1,5,2,2,2,3,3,3,3,6,3,5,5,4,3,2,4,3
"6",4,4,0,0,3,2,3,1,1,3,1,1,4,3,1,2,1,2,1,1,1,1,1,2,0,3,3,1,2,2,2,4,1,1,4,4,2,3,5,0,1,4,2,2,1,0,0,4,0,0,3,0,5,2,1,3,7,3,1,1,4,2,3,2,4,1,2,2,3,3,2,6,1,2,1,5,2,2,4,3,2,0,2,1,0,2,0,4,1,0,1,6,2,2,0,2,2,2,1,2
"7",0,1,2,0,4,0,4,1,1,0,1,1,1,1,0,1,1,3,0,2,2,1,0,3,2,1,2,0,0,3,1,0,1,2,1,0,3,1,0,1,0,0,1,2,1,1,0,0,2,2,0,3,2,1,2,0,0,0,0,1,0,1,1,0,1,0,1,1,1,2,1,1,1,4,1,1,1,3,0,0,1,1,1,1,2,1,3,0,0,1,0,1,0,2,3,1,1,3,2,2
"8",0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,2,0,1,1,0,1,1,0,0,2,0,1,0,0,0,1,2,0,1,0,2,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,2,0,0,1,0,1,1,0,0,2,0,1,1,0,2,2,1,0,2,0,1,0,0,0,1,1,1,0,1,2,1,1,1,0,0,0,0,1,1,0,1,1
"9",0,1,1,3,0,1,0,3,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,1,1,0,0,1,2,0,0,1,0,0,1,0,2,1,2,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,1,1,0,1,1,0,1,0,1,0,2,0,0,2,0,0,1,0,0,1,1,0,0,1,2,0,0,1,0,1,0,1,2,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1
"11",1,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,2,1,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0
"12",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
"13",1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
"14",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"16",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
