"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",174,166,171,174,164,165,155,157,152,159,154,156,151,156,165,157,168,166,163,142,161,165,145,164,163,153,161,159,155,154,164,159,157,162,167,170,144,151,155,161,150,159,164,162,168,162,158,160,163,161,164,161,159,153,160,150,152,166,160,164,167,164,159,164,156,158,158,160,156,158,153,167,153,168,161,159,159,158,155,154,157,157,166,155,161,155,165,162,169,166,163,164,164,171,164,166,154,155,160,165
"2",7,8,8,11,9,9,14,10,13,13,13,16,11,15,10,13,7,10,7,14,11,10,13,11,15,17,10,12,11,15,10,13,14,9,8,12,18,11,16,10,14,12,11,12,11,13,12,13,16,11,10,12,12,12,11,9,11,14,14,14,8,10,14,9,14,5,15,13,12,11,14,12,10,6,13,11,10,9,11,12,10,14,13,11,12,12,9,10,10,13,10,7,14,10,11,9,10,11,8,12
"3",3,2,2,0,1,2,1,3,3,1,3,1,2,3,2,4,2,2,2,4,2,4,4,5,1,1,1,4,5,0,2,1,2,4,1,1,2,8,1,2,2,3,1,2,1,0,0,2,2,1,4,1,3,3,3,6,2,1,3,3,2,2,2,2,2,7,0,0,3,4,3,2,7,4,2,2,3,4,3,1,4,3,3,4,4,2,3,3,4,1,4,4,0,2,3,2,3,6,4,0
"4",1,2,2,0,4,3,1,2,1,0,0,1,3,0,1,0,2,1,0,0,3,1,1,0,0,0,1,0,1,1,1,0,0,1,2,1,0,1,1,2,1,1,0,1,2,2,1,1,0,0,0,2,1,0,1,1,2,1,1,0,0,0,2,2,1,3,2,1,0,1,1,1,0,1,2,2,2,2,2,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0
"5",0,1,0,1,0,0,1,0,2,0,1,0,2,0,0,0,1,1,1,2,0,0,0,0,1,1,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,1,2,0,1,1
"6",0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0
"7",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
