"X","variable","value"
1,"X1",631
2,"X1",231
3,"X1",88
4,"X1",70
5,"X1",46
6,"X1",21
7,"X1",27
8,"X1",27
9,"X1",12
10,"X1",9
11,"X1",4
12,"X1",7
13,"X1",1
14,"X1",2
15,"X1",5
16,"X1",2
17,"X1",6
18,"X1",4
19,"X1",0
20,"X1",1
21,"X1",1
22,"X1",604
23,"X1",205
1,"X2",639
2,"X2",221
3,"X2",106
4,"X2",61
5,"X2",38
6,"X2",25
7,"X2",35
8,"X2",24
9,"X2",9
10,"X2",4
11,"X2",10
12,"X2",3
13,"X2",3
14,"X2",4
15,"X2",3
16,"X2",5
17,"X2",4
18,"X2",0
19,"X2",0
20,"X2",1
21,"X2",0
22,"X2",622
23,"X2",208
1,"X3",635
2,"X3",225
3,"X3",93
4,"X3",59
5,"X3",45
6,"X3",29
7,"X3",26
8,"X3",22
9,"X3",21
10,"X3",5
11,"X3",8
12,"X3",6
13,"X3",1
14,"X3",1
15,"X3",4
16,"X3",4
17,"X3",4
18,"X3",5
19,"X3",0
20,"X3",2
21,"X3",0
22,"X3",623
23,"X3",207
1,"X4",640
2,"X4",226
3,"X4",100
4,"X4",63
5,"X4",38
6,"X4",21
7,"X4",38
8,"X4",17
9,"X4",16
10,"X4",4
11,"X4",6
12,"X4",5
13,"X4",2
14,"X4",3
15,"X4",3
16,"X4",6
17,"X4",4
18,"X4",1
19,"X4",0
20,"X4",2
21,"X4",0
22,"X4",616
23,"X4",218
1,"X5",633
2,"X5",225
3,"X5",100
4,"X5",62
5,"X5",47
6,"X5",22
7,"X5",28
8,"X5",19
9,"X5",20
10,"X5",4
11,"X5",7
12,"X5",6
13,"X5",3
14,"X5",4
15,"X5",2
16,"X5",2
17,"X5",6
18,"X5",4
19,"X5",0
20,"X5",0
21,"X5",1
22,"X5",622
23,"X5",197
1,"X6",636
2,"X6",225
3,"X6",94
4,"X6",61
5,"X6",41
6,"X6",28
7,"X6",33
8,"X6",24
9,"X6",11
10,"X6",9
11,"X6",5
12,"X6",6
13,"X6",1
14,"X6",2
15,"X6",4
16,"X6",3
17,"X6",5
18,"X6",5
19,"X6",0
20,"X6",1
21,"X6",1
22,"X6",612
23,"X6",209
1,"X7",634
2,"X7",220
3,"X7",95
4,"X7",65
5,"X7",42
6,"X7",26
7,"X7",31
8,"X7",26
9,"X7",14
10,"X7",7
11,"X7",6
12,"X7",8
13,"X7",1
14,"X7",1
15,"X7",4
16,"X7",3
17,"X7",5
18,"X7",5
19,"X7",0
20,"X7",1
21,"X7",1
22,"X7",591
23,"X7",221
1,"X8",648
2,"X8",219
3,"X8",93
4,"X8",69
5,"X8",40
6,"X8",23
7,"X8",38
8,"X8",17
9,"X8",10
10,"X8",10
11,"X8",4
12,"X8",4
13,"X8",2
14,"X8",2
15,"X8",3
16,"X8",3
17,"X8",7
18,"X8",2
19,"X8",0
20,"X8",1
21,"X8",0
22,"X8",613
23,"X8",209
1,"X9",655
2,"X9",203
3,"X9",91
4,"X9",79
5,"X9",38
6,"X9",34
7,"X9",25
8,"X9",21
9,"X9",15
10,"X9",5
11,"X9",7
12,"X9",4
13,"X9",1
14,"X9",2
15,"X9",6
16,"X9",6
17,"X9",0
18,"X9",1
19,"X9",1
20,"X9",1
21,"X9",0
22,"X9",615
23,"X9",211
1,"X10",638
2,"X10",233
3,"X10",86
4,"X10",69
5,"X10",33
6,"X10",25
7,"X10",28
8,"X10",27
9,"X10",14
10,"X10",8
11,"X10",8
12,"X10",6
13,"X10",1
14,"X10",3
15,"X10",3
16,"X10",6
17,"X10",4
18,"X10",1
19,"X10",0
20,"X10",2
21,"X10",0
22,"X10",606
23,"X10",233
1,"X11",634
2,"X11",230
3,"X11",102
4,"X11",56
5,"X11",43
6,"X11",27
7,"X11",36
8,"X11",20
9,"X11",8
10,"X11",8
11,"X11",3
12,"X11",7
13,"X11",1
14,"X11",1
15,"X11",4
16,"X11",3
17,"X11",5
18,"X11",5
19,"X11",0
20,"X11",1
21,"X11",1
22,"X11",617
23,"X11",210
1,"X12",639
2,"X12",215
3,"X12",99
4,"X12",67
5,"X12",46
6,"X12",24
7,"X12",30
8,"X12",21
9,"X12",19
10,"X12",5
11,"X12",5
12,"X12",4
13,"X12",2
14,"X12",2
15,"X12",4
16,"X12",1
17,"X12",6
18,"X12",5
19,"X12",0
20,"X12",0
21,"X12",1
22,"X12",613
23,"X12",226
1,"X13",632
2,"X13",234
3,"X13",88
4,"X13",68
5,"X13",41
6,"X13",36
7,"X13",30
8,"X13",17
9,"X13",14
10,"X13",6
11,"X13",4
12,"X13",5
13,"X13",0
14,"X13",2
15,"X13",3
16,"X13",6
17,"X13",6
18,"X13",1
19,"X13",1
20,"X13",1
21,"X13",0
22,"X13",598
23,"X13",226
1,"X14",640
2,"X14",226
