"X","variable","value"
1,"X1",634
2,"X1",99
3,"X1",22
4,"X1",15
5,"X1",8
6,"X1",5
7,"X1",5
8,"X1",1
9,"X1",3
10,"X1",0
11,"X1",2
12,"X1",0
13,"X1",1
14,"X1",0
15,"X1",0
16,"X1",0
17,"X1",0
18,"X1",0
19,"X1",0
20,"X1",1
21,"X1",2
22,"X1",0
23,"X1",0
1,"X2",644
2,"X2",97
3,"X2",20
4,"X2",13
5,"X2",8
6,"X2",4
7,"X2",3
8,"X2",4
9,"X2",2
10,"X2",0
11,"X2",1
12,"X2",2
13,"X2",1
14,"X2",0
15,"X2",0
16,"X2",0
17,"X2",0
18,"X2",0
19,"X2",1
20,"X2",1
21,"X2",0
22,"X2",0
23,"X2",1
1,"X3",644
2,"X3",92
3,"X3",23
4,"X3",14
5,"X3",8
6,"X3",4
7,"X3",3
8,"X3",5
9,"X3",2
10,"X3",0
11,"X3",1
12,"X3",1
13,"X3",1
14,"X3",0
15,"X3",0
16,"X3",0
17,"X3",0
18,"X3",0
19,"X3",0
20,"X3",2
21,"X3",0
22,"X3",0
23,"X3",1
1,"X4",638
2,"X4",94
3,"X4",26
4,"X4",16
5,"X4",4
6,"X4",4
7,"X4",5
8,"X4",4
9,"X4",2
10,"X4",0
11,"X4",0
12,"X4",3
13,"X4",0
14,"X4",0
15,"X4",0
16,"X4",0
17,"X4",0
18,"X4",0
19,"X4",1
20,"X4",1
21,"X4",0
22,"X4",0
23,"X4",1
1,"X5",635
2,"X5",96
3,"X5",21
4,"X5",15
5,"X5",7
6,"X5",6
7,"X5",2
8,"X5",4
9,"X5",2
10,"X5",0
11,"X5",1
12,"X5",2
13,"X5",1
14,"X5",0
15,"X5",0
16,"X5",0
17,"X5",0
18,"X5",0
19,"X5",1
20,"X5",0
21,"X5",1
22,"X5",1
23,"X5",0
1,"X6",642
2,"X6",96
3,"X6",23
4,"X6",13
5,"X6",7
6,"X6",6
7,"X6",2
8,"X6",3
9,"X6",3
10,"X6",0
11,"X6",3
12,"X6",0
13,"X6",0
14,"X6",1
15,"X6",0
16,"X6",0
17,"X6",0
18,"X6",0
19,"X6",3
20,"X6",0
21,"X6",0
22,"X6",0
23,"X6",0
1,"X7",638
2,"X7",100
3,"X7",21
4,"X7",12
5,"X7",9
6,"X7",4
7,"X7",3
8,"X7",5
9,"X7",1
10,"X7",0
11,"X7",1
12,"X7",3
13,"X7",0
14,"X7",0
15,"X7",0
16,"X7",0
17,"X7",0
18,"X7",1
19,"X7",1
20,"X7",0
21,"X7",0
22,"X7",0
23,"X7",1
1,"X8",638
2,"X8",93
3,"X8",22
4,"X8",15
5,"X8",8
6,"X8",3
7,"X8",4
8,"X8",4
9,"X8",2
10,"X8",0
11,"X8",2
12,"X8",1
13,"X8",1
14,"X8",0
15,"X8",0
16,"X8",0
17,"X8",0
18,"X8",0
19,"X8",1
20,"X8",0
21,"X8",1
22,"X8",1
23,"X8",0
1,"X9",631
2,"X9",100
3,"X9",21
4,"X9",15
5,"X9",7
6,"X9",3
