"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",634,644,644,638,635,642,638,638,631,632,631,633,629,630,641,640,642,630,639,633,641,642,640,651,641,624,637,639,630,640,645,642,646,639,645,634,638,644,647,640,637,636,634,634,641,640,651,638,642,635,639,635,635,628,635,644,643,652,630,635,651,637,643,634,628,643,637,649,621,631,635,642,632,645,641,636,647,624,627,637,633,630,644,638,644,632,637,642,629,633,626,639,640,634,626,654,656,636,637,634
"2",99,97,92,94,96,96,100,93,100,99,99,96,98,98,98,93,95,103,95,99,92,89,94,88,92,106,93,95,97,94,90,100,94,91,100,98,91,94,93,94,100,97,99,95,94,93,91,91,97,97,100,97,96,99,92,98,94,98,97,99,91,98,93,96,101,97,91,90,102,96,97,97,97,92,94,97,93,101,101,97,96,104,96,93,92,98,94,94,100,95,101,96,92,97,101,85,91,104,97,99
"3",22,20,23,26,21,23,21,22,21,27,22,24,27,24,22,27,21,24,21,19,25,25,23,23,25,18,21,21,24,26,26,21,23,27,24,24,25,26,21,25,24,25,23,24,24,24,23,25,20,22,20,26,26,23,26,25,25,21,23,21,21,23,26,22,23,21,26,23,20,24,21,22,22,26,25,26,20,25,22,21,25,24,23,25,24,24,26,24,23,23,24,21,25,20,24,23,23,18,25,26
"4",15,13,14,16,15,13,12,15,15,15,16,14,12,14,11,14,16,12,13,14,16,16,14,18,15,14,15,14,13,11,15,16,19,14,15,12,15,17,17,15,11,14,14,18,14,13,15,18,16,12,14,13,12,13,14,11,16,14,15,14,14,14,11,16,12,13,14,13,15,14,18,17,18,13,15,9,15,13,15,15,14,11,14,16,14,16,10,12,14,14,12,16,13,13,13,18,13,15,13,12
"5",8,8,8,4,7,7,9,8,7,4,7,8,7,6,8,7,7,9,9,9,8,6,9,8,8,8,8,9,10,10,6,4,4,9,6,9,7,4,6,8,9,7,10,5,7,8,8,7,8,9,8,9,6,8,9,6,7,9,7,7,11,8,8,7,11,8,9,9,9,8,6,7,6,7,7,11,8,10,7,8,7,12,7,8,8,6,11,9,6,10,11,8,9,9,10,6,8,7,9,7
"6",5,4,4,4,6,6,4,3,3,4,4,5,4,3,4,3,4,4,5,6,1,7,2,5,4,5,4,4,2,4,4,6,5,2,2,5,3,4,7,3,3,4,1,3,4,3,3,4,4,5,4,2,4,6,5,5,4,5,4,5,3,6,4,5,3,6,3,4,5,5,4,3,4,5,2,4,4,3,4,5,4,4,6,2,4,3,3,4,5,4,2,3,4,5,3,3,4,4,4,4
"7",5,3,3,5,2,2,3,4,5,5,3,2,5,4,6,3,4,5,3,3,4,2,4,1,4,2,2,4,5,2,3,4,3,3,4,3,4,3,2,4,3,3,3,4,4,4,6,2,4,4,4,4,4,2,1,4,4,3,3,5,4,2,4,2,3,0,4,4,1,2,3,3,3,2,4,3,4,2,4,2,4,1,1,6,5,2,3,4,3,5,2,2,4,3,2,3,4,2,2,4
"8",1,4,5,4,4,3,5,4,2,3,4,3,1,2,2,4,4,2,4,3,4,3,3,3,2,5,4,2,3,3,5,2,4,3,3,3,4,6,3,5,4,2,3,3,3,3,3,4,4,4,2,2,2,3,2,2,3,5,2,3,1,4,3,4,5,5,2,2,4,3,4,3,3,4,4,3,1,5,2,3,2,2,4,3,3,4,2,3,3,2,4,3,1,3,5,3,2,3,4,3
"9",3,2,2,2,2,3,1,2,3,1,3,3,3,4,3,2,1,1,2,2,3,2,3,2,2,2,3,3,2,3,1,2,1,3,3,2,3,1,3,1,2,3,3,3,2,3,1,3,2,2,4,3,4,3,4,3,2,1,4,1,3,2,2,2,2,2,3,3,4,3,3,2,3,2,2,2,4,1,3,3,3,4,2,1,1,3,4,2,3,2,3,4,4,3,3,3,4,4,4,2
"10",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
"11",2,1,1,0,1,3,1,2,2,0,0,0,1,1,0,1,2,1,1,2,0,1,2,2,1,0,1,1,1,2,2,0,1,2,0,2,1,1,1,0,3,2,0,3,1,2,1,2,2,1,1,2,1,0,1,0,1,1,0,1,2,2,0,2,2,1,3,0,1,2,1,2,2,2,2,2,1,1,2,0,1,1,1,1,2,2,2,3,2,2,1,1,0,1,1,2,0,2,0,1
